date,year,month,price,count,change,mark
2008-09-28,2008,9,8830.02,3113,0.0,100.0
2008-12-28,2008,12,8726.01,896,-0.011779135268096812,98.82208647319032
2009-01-28,2009,1,9722.51,1085,0.10107451625251129,110.10745162525113
2009-02-28,2009,2,9500.0,91,0.07587525283068436,107.58752528306843
2009-03-28,2009,3,8444.84,31,-0.043621645251086666,95.63783547489133
2009-08-28,2009,8,11258.5,44,0.27502542463097474,127.50254246309747
2009-09-28,2009,9,10865.04,104,0.23046606915952628,123.04660691595262
2009-10-28,2009,10,11654.55,20,0.3198780976713528,131.98780976713527
2009-12-28,2009,12,10481.54,24,0.18703468395315076,118.70346839531507
2010-05-28,2010,5,10872.21,170,0.2312780718503467,123.12780718503467
2010-06-28,2010,6,10111.85,159,0.14516728161431117,114.51672816143112
2010-07-28,2010,7,10178.69,313,0.15273691339317466,115.27369133931747
2010-08-28,2010,8,10363.94,166,0.173716480823373,117.3716480823373
2010-09-28,2010,9,10221.59,176,0.15759533953490476,115.75953395349048
2010-11-28,2010,11,10000.0,44,0.1325002661375625,113.25002661375625
2010-12-28,2010,12,11053.55,56,0.2518148316764853,125.18148316764852
2011-01-28,2011,1,11990.44,79,0.35791764911064755,135.79176491106475
2011-07-28,2011,7,12240.83,66,0.38627432327446587,138.62743232744657
2011-08-28,2011,8,12073.43,23,0.3673162688193231,136.7316268819323
2011-09-28,2011,9,12330.7,703,0.39645210316624424,139.64521031662443
2011-10-28,2011,10,12100.76,678,0.3704113920466771,137.0411392046677
2011-11-28,2011,11,11792.53,206,0.33550433634351906,133.55043363435192
2011-12-28,2011,12,12590.77,128,0.42590503758768383,142.5905037587684
2012-01-28,2012,1,13000.0,129,0.47225034597883125,147.2250345978831
2012-02-28,2012,2,15478.9,103,0.7529858369516715,175.29858369516717
2012-03-28,2012,3,16051.38,117,0.8178192121875146,181.78192121875145
2012-04-28,2012,4,15372.49,71,0.7409349016197018,174.09349016197018
2012-05-28,2012,5,16877.72,29,0.9114022391795262,191.14022391795262
2012-06-28,2012,6,14243.13,142,0.6130348515631899,161.303485156319
2012-07-28,2012,7,13500.0,48,0.5288753592857094,152.88753592857094
2012-08-28,2012,8,13247.66,35,0.5002978475699941,150.0297847569994
2012-09-28,2012,9,13000.0,28,0.47225034597883125,147.2250345978831
2013-05-28,2013,5,15206.85,517,0.7221761672113992,172.2176167211399
2013-06-28,2013,6,15363.52,313,0.7399190488809765,173.99190488809765
2013-07-28,2013,7,14448.86,308,0.6363337795384382,163.63337795384382
2013-08-28,2013,8,16775.68,31,0.8998462064638585,189.98462064638585
2013-11-28,2013,11,14000.0,25,0.5855003725925875,158.55003725925874
2013-12-28,2013,12,14000.0,146,0.5855003725925875,158.55003725925874
2014-01-28,2014,1,14500.0,56,0.6421253858994656,164.21253858994658
2014-08-28,2014,8,14800.0,35,0.6761003938835924,167.61003938835924
2015-09-28,2015,9,15000.0,28,0.6987503992063437,169.87503992063438
2015-10-28,2015,10,15134.98,45,0.7140368877986685,171.40368877986685
2015-11-28,2015,11,14887.66,65,0.6860278912165544,168.60278912165543
2015-12-28,2015,12,12553.22,125,0.42165249908833713,142.16524990883372
2016-01-28,2016,1,15259.18,127,0.7281025411040971,172.81025411040972
2016-02-28,2016,2,14178.97,64,0.6057687298556513,160.57687298556513
2016-03-28,2016,3,14943.24,25,0.6923223276957469,169.2322327695747
2016-04-28,2016,4,14692.84,107,0.6639645210316624,166.39645210316624
2016-05-28,2016,5,15819.72,140,0.791583711022172,179.1583711022172
2016-06-28,2016,6,14138.39,28,0.6011730437756652,160.1173043775665
2016-09-28,2016,9,15132.64,25,0.7137718827363922,171.3771882736392
2016-10-28,2016,10,13832.61,114,0.5665434506377109,156.6543450637711
2016-11-28,2016,11,14000.0,228,0.5855003725925875,158.55003725925874
2016-12-28,2016,12,13169.65,221,0.4914632129938549,149.14632129938548
2017-01-28,2017,1,15000.0,59,0.6987503992063437,169.87503992063438
2017-02-28,2017,2,12507.48,31,0.416472442871024,141.6472442871024
2018-05-28,2018,5,13813.8,25,0.564413217637106,156.4413217637106
2018-07-28,2018,7,13582.33,27,0.5381992339768199,153.81992339768198
2019-01-28,2019,1,13668.08,36,0.5479104237589495,154.79104237589496
2020-04-28,2020,4,14851.71,34,0.6819565527597897,168.195655275979
2020-05-28,2020,5,12385.65,31,0.40267519212867003,140.267519212867
2020-07-28,2020,7,15856.82,33,0.7957852870095423,179.57852870095422
2020-08-28,2020,8,18171.85,219,1.0579624961211864,205.79624961211863
2021-03-28,2021,3,17245.14,4492,0.9530125639579524,195.30125639579524
2021-04-28,2021,4,18346.6,16325,1.0777529382719402,207.77529382719402
2021-05-28,2021,5,20180.07,6288,1.285393464567464,228.53934645674642
2021-07-28,2021,7,22255.8,4790,1.5204699423104362,252.0469942310436
2021-08-28,2021,8,21780.73,16884,1.466668252167039,246.6668252167039
2021-09-28,2021,9,21232.03,15246,1.404527962564071,240.4527962564071
2021-10-28,2021,10,21834.47,15175,1.4727543085972625,247.27543085972624
2021-11-28,2021,11,22207.24,14723,1.5149705210180724,251.49705210180724
2021-12-28,2021,12,22594.08,14365,1.558780161313338,255.8780161313338
2022-01-28,2022,1,24790.36,13288,1.8075089297645983,280.7508929764598
